Model,FoldIndex,Retrained,TargetShift,PeriodStart,PeriodEnd,TrainWindowStart,TrainWindowEnd,TrainIntervals,TestIntervals,ValidationIntervals,CheckpointVersion,Device,BatchSize,NEstimators,PredictSeconds,Longs,Shorts,GrossExposure,PeriodReturn
tabicl_v2,0,True,0,2023-11-11,2023-12-08,2021-12-11,2023-11-10,67,15,15,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,16.381209135055542,"CZR,CARR,BF-B",,1.0,0.0334741377049792
tabicl_v2,1,False,0,2023-12-09,2024-01-05,2021-12-11,2023-12-08,70,15,16,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,16.817996978759766,"UNH,PG,SHY",,1.0,0.002709743635597839
tabicl_v2,2,False,0,2024-01-06,2024-02-02,2021-12-11,2024-01-05,73,16,16,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,17.696106672286987,"IEAA.L,JPEA.L,HIGH.L",,1.0,0.005010223062077213
tabicl_v2,3,True,0,2024-02-03,2024-03-01,2021-12-11,2024-02-02,76,16,17,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,20.97363781929016,"URI,MCHI,AMAT",,1.0,0.13545153474158145
tabicl_v2,4,False,0,2024-03-02,2024-03-29,2021-12-11,2024-03-01,79,17,17,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,19.600029230117798,"MVEU.L,NVDA,IEVL.L",,1.0,0.04679646424441808
tabicl_v2,5,False,0,2024-03-30,2024-04-26,2021-12-11,2024-03-29,81,18,18,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,20.450446128845215,"HIGH.L,HYG,IEAA.L",,1.0,-0.002380701931129048
tabicl_v2,6,True,0,2024-04-27,2024-05-24,2021-12-11,2024-04-26,84,18,19,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,24.35347580909729,"ROST,HST,PLD",,1.0,0.011927924686427449
tabicl_v2,7,False,0,2024-05-25,2024-06-21,2021-12-11,2024-05-24,87,19,19,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,23.034358024597168,"SLV,ABBV,SOUN",,1.0,-0.058843787575686535
tabicl_v2,8,False,0,2024-06-22,2024-07-19,2021-12-11,2024-06-21,90,19,20,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,23.40576410293579,"PYPL,XLB,XLI",,1.0,0.00532779684329987
tabicl_v2,9,True,0,2024-07-20,2024-08-16,2021-12-11,2024-07-19,93,20,20,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,27.608808279037476,"XLP,CARR,DPZ",,1.0,0.029716733417614938
tabicl_v2,10,False,0,2024-08-17,2024-09-13,2021-12-11,2024-08-16,95,21,21,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,26.54301166534424,"CE,IUVL.L,CDW",,1.0,-0.010681975033948188
tabicl_v2,11,False,0,2024-09-14,2024-10-11,2021-12-11,2024-09-13,98,21,22,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,28.17876887321472,"AVB,HIGH.L,EWL",,1.0,-0.01460860082058224
tabicl_v2,12,True,0,2024-10-12,2024-11-08,2021-12-11,2024-10-11,101,22,22,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,39.445871114730835,"SEGA.L,SHY,EWU",,1.0,-0.01693205380705254
tabicl_v2,13,False,0,2024-11-09,2024-12-06,2021-12-11,2024-11-08,104,22,23,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,40.05843901634216,"PLTR,JPEA.L,XLV",,1.0,0.07907874794530145
tabicl_v2,14,False,0,2024-12-07,2025-01-03,2021-12-11,2024-12-06,107,23,23,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,39.08576011657715,"PLTR,KR,PLD",,1.0,0.02981347255827438
tabicl_v2,15,True,0,2025-01-04,2025-01-31,2022-01-08,2025-01-03,107,23,23,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,44.06211996078491,"OGN,AVB,DXC",,1.0,0.04169221788592159
tabicl_v2,16,False,0,2025-02-01,2025-02-28,2022-02-05,2025-01-31,107,23,23,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,44.98647665977478,"HST,INDA,BF-B",,1.0,-0.01275023710364842
tabicl_v2,17,False,0,2025-03-01,2025-03-28,2022-03-05,2025-02-28,107,23,23,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,41.690812826156616,"BMY,ALLE,AMZN",,1.0,-0.011505952407899311
tabicl_v2,18,True,0,2025-03-29,2025-04-25,2022-04-02,2025-03-28,107,23,23,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,43.91860365867615,"V,PLTR,OGN",,1.0,0.021171904351922066
tabicl_v2,19,False,0,2025-04-26,2025-05-23,2022-04-30,2025-04-25,107,23,23,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,47.90220808982849,"SW,PYPL,AMZN",,1.0,0.06270418131774513
tabicl_v2,20,False,0,2025-05-24,2025-06-20,2022-05-28,2025-05-23,107,23,23,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,85.91062903404236,"ABBV,V,UNH",,1.0,-0.009449198931010816
tabicl_v2,21,True,0,2025-06-21,2025-07-18,2022-06-25,2025-06-20,107,23,23,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,71.41227889060974,"BR,CTAS,PRU",,1.0,-0.007161716436397403
tabicl_v2,22,False,0,2025-07-19,2025-08-15,2022-07-23,2025-07-18,107,23,23,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,64.52098798751831,"URI,CNC,NVDA",,1.0,0.09161553855410753
tabicl_v2,23,False,0,2025-08-16,2025-09-12,2022-08-20,2025-08-15,107,23,23,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,61.024030923843384,"JPM,AIZ,GOOG",,1.0,0.08526939265634836
tabicl_v2,24,True,0,2025-09-13,2025-10-10,2022-09-17,2025-09-12,107,23,23,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,63.35679006576538,"NVDA,ACN,PRU",,1.0,-0.004918051560935499
tabicl_v2,25,False,0,2025-10-11,2025-11-07,2022-10-15,2025-10-10,107,23,23,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,59.69229793548584,"EWG,NVDA,AMP",,1.0,-0.02330301559683623
tabicl_v2,26,False,0,2025-11-08,2025-12-05,2022-11-12,2025-11-07,107,23,23,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,65.60790491104126,"ACN,AMP,XOM",,1.0,0.04147532110543661
tabicl_v2,27,True,0,2025-12-06,2026-01-02,2022-12-10,2025-12-05,107,23,23,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,63.78822088241577,"AMP,DXC,AMZN",,1.0,0.005459168429432948
tabicl_v2,28,False,0,2026-01-03,2026-01-30,2023-01-07,2026-01-02,107,23,23,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,65.71357679367065,"V,AMP,DPZ",,1.0,-0.018607261035971767
tabicl_v2,29,False,0,2026-01-31,2026-02-27,2023-02-04,2026-01-30,107,23,23,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,63.543972969055176,"GPC,NVDA,AIZ",,1.0,-0.0754268711166971
tabicl_v2,30,True,0,2026-02-28,2026-03-27,2023-03-04,2026-02-27,107,23,23,tabicl-classifier-v2-20260212.ckpt,cpu,256,1,65.8628089427948,"AMZN,IUMO.L,ROST",,1.0,0.021562531011220853
